timestamp,room_id,device_id,type,seq,payload_json
2025-12-12 11:02:04,Room2,D001,SENSOR,48,"{""temp"":24.5,""humidity"":47}"
2025-12-12 11:02:05,Room2,D002,SENSOR,13,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:09,Room2,D001,SENSOR,49,"{""temp"":24.5,""humidity"":47}"
2025-12-12 11:02:10,Room2,D002,SENSOR,14,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:14,Room2,D001,SENSOR,50,"{""temp"":24.5,""humidity"":47}"
2025-12-12 11:02:15,Room2,D002,SENSOR,15,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:19,Room2,D001,SENSOR,51,"{""temp"":24.5,""humidity"":47}"
2025-12-12 11:02:20,Room2,D002,SENSOR,16,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:24,Room2,D001,SENSOR,52,"{""temp"":24.5,""humidity"":47}"
2025-12-12 11:02:25,Room2,D002,SENSOR,17,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:29,Room2,D001,SENSOR,53,"{""temp"":24.4,""humidity"":47}"
2025-12-12 11:02:30,Room2,D002,SENSOR,18,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:34,Room2,D001,SENSOR,54,"{""temp"":24.4,""humidity"":47}"
2025-12-12 11:02:35,Room2,D002,SENSOR,19,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:39,Room2,D001,SENSOR,55,"{""temp"":24.4,""humidity"":47}"
2025-12-12 11:02:40,Room2,D002,SENSOR,20,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:44,Room2,D001,SENSOR,56,"{""temp"":24.4,""humidity"":47}"
2025-12-12 11:02:45,Room2,D002,SENSOR,21,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:49,Room2,D001,SENSOR,57,"{""temp"":24.4,""humidity"":47}"
2025-12-12 11:02:50,Room2,D002,SENSOR,22,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:54,Room2,D001,SENSOR,58,"{""temp"":24.4,""humidity"":47}"
2025-12-12 11:02:55,Room2,D002,SENSOR,23,"{""temp"":24,""humidity"":46}"
2025-12-12 11:02:59,Room2,D001,SENSOR,59,"{""temp"":24.4,""humidity"":47}"
2025-12-12 11:03:00,Room2,D002,SENSOR,24,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:04,Room2,D001,SENSOR,60,"{""temp"":24.3,""humidity"":47}"
2025-12-12 11:03:05,Room2,D002,SENSOR,25,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:09,Room2,D001,SENSOR,61,"{""temp"":24.3,""humidity"":47}"
2025-12-12 11:03:10,Room2,D002,SENSOR,26,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:14,Room2,D001,SENSOR,62,"{""temp"":24.3,""humidity"":47}"
2025-12-12 11:03:15,Room2,D002,SENSOR,27,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:19,Room2,D001,SENSOR,63,"{""temp"":24.3,""humidity"":47}"
2025-12-12 11:03:20,Room2,D002,SENSOR,28,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:24,Room2,D001,SENSOR,64,"{""temp"":24.3,""humidity"":48}"
2025-12-12 11:03:25,Room2,D002,SENSOR,29,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:29,Room2,D001,SENSOR,65,"{""temp"":24.2,""humidity"":48}"
2025-12-12 11:03:30,Room2,D002,SENSOR,30,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:34,Room2,D001,SENSOR,66,"{""temp"":24.2,""humidity"":48}"
2025-12-12 11:03:35,Room2,D002,SENSOR,31,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:39,Room2,D001,SENSOR,67,"{""temp"":24.2,""humidity"":48}"
2025-12-12 11:03:40,Room2,D002,SENSOR,32,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:44,Room2,D001,SENSOR,68,"{""temp"":24.2,""humidity"":48}"
2025-12-12 11:03:45,Room2,D002,SENSOR,33,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:49,Room2,D001,SENSOR,69,"{""temp"":24.2,""humidity"":48}"
2025-12-12 11:03:50,Room2,D002,SENSOR,34,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:54,Room2,D001,SENSOR,70,"{""temp"":24.2,""humidity"":48}"
2025-12-12 11:03:55,Room2,D002,SENSOR,35,"{""temp"":24,""humidity"":46}"
2025-12-12 11:03:59,Room2,D001,SENSOR,71,"{""temp"":24.2,""humidity"":48}"
2025-12-12 11:04:00,Room2,D002,SENSOR,36,"{""temp"":24,""humidity"":46}"
